$Bez. SO;Bezeichner;Langname;$UKZ;$Kurzname;$Un;P min;P max;NNF_1;NNF_2;NNF_3;NNF_4;NNF_5;NNF_6;NNF_7;NNF_8;NNF_9
AVELGEM;RUIEN;Gas;B;E001;380;175,8;879;863,6407;543,439;855,9455;551,7994;621,816;543,439;537,1932;638,2016;855,9455
BRUEGEL;SYRAL;Gas;B;E001;380;9,6;48;38,7644;29,7833;36,4407;29,9482;29,9701;29,7833;30,4257;30,5727;36,4407
BRUEGEL;DEUX-ACREN;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
DOEL;KALLO;Gas;B;E001;380;52,2;261;246,9801;166,5071;240,4539;167,5504;174,6492;166,5071;168,6196;178,9928;240,4539
DOEL;EXXON;Gas;B;E001;380;26;130;117,6835;83,188;113,1683;83,7479;85,3209;83,188;84,8724;87,4049;113,1683
DOEL;ZWIJNDRECHT;Gas;B;E001;380;11,6;58;48,1449;36,3307;45,4397;36,5527;36,6677;36,3307;37,1453;37,467;45,4397
DOEL;LILLO DEGUSSA;Gas;B;E001;380;17;85;73,9248;53,9904;70,4218;54,3541;54,8635;53,9904;55,2011;56,166;70,4218
DOEL;MONSANTO;Gas;B;E001;380;8,6;43;34,1257;26,515;32,0228;26,6509;26,638;26,515;27,0654;27,14;32,0228
DOEL;LANXESS;Gas;B;E001;380;8,6;43;34,1257;26,515;32,0228;26,6509;26,638;26,515;27,0654;27,14;32,0228
DOEL;WILMARSDONK;Gas;B;E001;380;30,8;154;141,2333;98,6242;136,2628;99,276;101,6029;98,6242;100,4815;104,0907;136,2628
DOEL;DOEL;KKW;B;E001;380;2037,7;2911;2911;2911;2911;2911;2911;2911;2911;2911;2911
DROGENBOS;DROGENBOS;Gas;B;E001;380;107,6;538;522,6812;338,336;514,3686;341,1695;369,6964;338,336;339,1861;380,1996;514,3686
DROGENBOS;IXELLES;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
EEKLO;HERDERSBRUG;Gas;B;E001;380;92;460;444,8848;290,3103;436,8307;292,4248;313,7332;290,3103;291,6276;322,3247;436,8307
EEKLO;ZEEBRUGGE 1;Gas;B;E001;380;8;40;31,3635;24,5575;29,4051;24,6762;24,6463;24,5575;25,0508;25,0872;29,4051
EEKLO;ZEEBRUGGE 2;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
EEKLO;AALTER;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
EEKLO;ZEDELGEM;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
GOUY;BAUDOUR;Gas;B;E001;380;70;350;335,368;222,1522;327,9838;223,5821;236,2415;222,1522;224,0324;242,3391;327,9838
GOUY;AMERCOEUR;Gas;B;E001;380;84;420;405,0316;265,5878;397,1774;267,417;285,3656;265,5878;267,1298;293,0131;397,1774
HOUFFALIZE;CIERREUX;Öl;B;E001;220;3,4;17;3,4;3,4;3,4;3,4;3,4;3,4;3,4;3,4;3,4
IZEGEM;IZEGEM;Gas;B;E001;380;4,4;22;15,3763;12,9563;14,4949;12,9873;12,9177;12,9563;13,0751;12,9927;14,4949
IZEGEM;HARELBEKE;Gas;B;E001;380;16,6;83;71,9986;52,6852;68,5475;53,039;53,5125;52,6852;53,8697;54,779;68,5475
IZEGEM;NOORDSCHOTE;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
IZEGEM;BUDA;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
JUPILLE;MONSIN 1;Gas;B;E001;220;14,74;74;63,3561;46,7787;60,148;47,0876;47,4135;46,7787;47,8405;48,5168;60,148
JUPILLE;TURON-THEUX;Öl;B;E001;220;3,4;17;3,4;3,4;3,4;3,4;3,4;3,4;3,4;3,4;3,4
LIXHE;SAPPI;Gas;B;E001;380;8,6;43;34,1257;26,515;32,0228;26,6509;26,638;26,515;27,0654;27,14;32,0228
LIXHE;LANGERLO;Steinkohle;B;E001;380;166,8;556;556;556;556;556;556;556;556;556;556
