$Bez. SO;Bezeichner;Langname;$UKZ;$Kurzname;$Un;P min;P0;P max
AVELGEM;RUIEN;Gas;B;E001;380;175,8;349,0422;879
BRUEGEL;SYRAL;Gas;B;E001;380;3,6;31,4641;66
COO;COO;Pumpspeicher;B;E003;380;-1035;1164;1164
DOEL;KALLO;Gas;B;E001;380;8,6;3344,5081;3685
DROGENBOS;DROGENBOS;Gas;B;E001;380;3,6;249,4076;556
EEKLO;HERDERSBRUG;Gas;B;E001;380;3,6;252,8875;554
GOUY;BAUDOUR;Gas;B;E001;380;70;381,6396;770
HOUFFALIZE;CIERREUX;Öl;B;E001;220;3,4;3,4;17
IZEGEM;IZEGEM;Gas;B;E001;380;3,6;67,9493;141
JUPILLE;MONSIN 1;Gas;B;E001;220;3,4;46,3725;91
LIXHE;SAPPI;Gas;B;E001;380;8,6;580,9233;599
MASSENHOVEN;MOL 13;Gas;B;E001;380;6;23,6683;62
MEERHOUT;GEEL AMOCO;Gas;B;E001;380;8,6;229,2853;463
MERCATOR;OUDEGEM;Gas;B;E001;380;2,9;21,6348;38
MONCEAU;MARCINELLE;Gas;B;E001;220;-144;344,6234;554
RODENHUIZE;RODENHUIZE 1;Gas;B;E001;380;3,6;804,7452;1569
SERAING;SERAING;Gas;B;E001;220;47,6;344,0271;688
TERGNEE;JEMEPPE-SOLVAY;Gas;B;E001;380;18,8;54,4078;94
TIHANGE;TIHANGE;KKW;B;E001;380;2111,2;3016;3016
V. BRUG;V. BRUG;Gas;B;E001;380;77;191,0935;385
ZANDVLIET;ZANDVLIET;GuD;B;E001;380;79;194,9378;395
ALBRECHTICE;DETMAROVICE;Braunkohle;C;E001;380;88,815;525,5284;1140
CHOMUTOV;KOMORANY;Braunkohle;C;E001;220;83,715;150,2128;280
CHOTEJOVICE;LEDVICE;Braunkohle;C;E001;220;204,615;309,9237;683
CHRAST;PLZEN SKODA;Braunkohle;C;E001;380;39,915;79,1831;134
CHVALETICE;CHVALETICE;Braunkohle;C;E001;380;252,615;367,7561;843
DALESICE;DALESICE;Pumpspeicher;C;E003;380;-450;487;487
DASNY;LIPNO;Wasserspeicher;C;E003;380;0;128;128
DLOUHE STRANE;DLOUHE STRANE;Pumpspeicher;C;E003;380;-624;657;657
DUKOVANY;DUKOVANY;KKW;C;E001;380;1275,4;1822;1822
HRADEC ZAPAD;KLADNO;Braunkohle;C;E001;380;142,515;231,7764;476
