$Bez. SO;Bezeichner;Langname;$UKZ;$Kurzname;$Un;P min;P0;P max
AVELGEM;RUIEN;Gas;B;E001;380;175,8;366,9355;879
BRUEGEL;SYRAL;Gas;B;E001;380;3,6;31,8896;66
COO;COO;Pumpspeicher;B;E003;380;-1035;1164;1164
DOEL;KALLO;Gas;B;E001;380;8,6;3351,4245;3685
DROGENBOS;DROGENBOS;Gas;B;E001;380;3,6;259,7192;556
EEKLO;HERDERSBRUG;Gas;B;E001;380;3,6;261,2363;554
GOUY;BAUDOUR;Gas;B;E001;380;70;393,3236;770
HOUFFALIZE;CIERREUX;Öl;B;E001;220;3,4;3,4;17
IZEGEM;IZEGEM;Gas;B;E001;380;3,6;68,7292;141
JUPILLE;MONSIN 1;Gas;B;E001;220;3,4;46,9593;91
LIXHE;SAPPI;Gas;B;E001;380;8,6;581,3113;599
MASSENHOVEN;MOL 13;Gas;B;E001;380;6;23,9286;62
MEERHOUT;GEEL AMOCO;Gas;B;E001;380;8,6;236,4831;463
MERCATOR;OUDEGEM;Gas;B;E001;380;2,9;21,7839;38
MONCEAU;MARCINELLE;Gas;B;E001;220;-144;351,1451;554
RODENHUIZE;RODENHUIZE 1;Gas;B;E001;380;3,6;824,7728;1569
SERAING;SERAING;Gas;B;E001;220;47,6;354,1032;688
TERGNEE;JEMEPPE-SOLVAY;Gas;B;E001;380;18,8;55,1159;94
TIHANGE;TIHANGE;KKW;B;E001;380;2111,2;3016;3016
V. BRUG;V. BRUG;Gas;B;E001;380;77;196,9099;385
ZANDVLIET;ZANDVLIET;GuD;B;E001;380;79;201,0335;395
ALBRECHTICE;DETMAROVICE;Braunkohle;C;E001;380;88,815;540,0758;1140
CHOMUTOV;KOMORANY;Braunkohle;C;E001;220;83,715;152,9475;280
CHOTEJOVICE;LEDVICE;Braunkohle;C;E001;220;204,615;319,0822;683
CHRAST;PLZEN SKODA;Braunkohle;C;E001;380;39,915;80,1662;134
CHVALETICE;CHVALETICE;Braunkohle;C;E001;380;252,615;379,3255;843
DALESICE;DALESICE;Pumpspeicher;C;E003;380;-450;487;487
DASNY;LIPNO;Wasserspeicher;C;E003;380;0;128;128
DLOUHE STRANE;DLOUHE STRANE;Pumpspeicher;C;E003;380;-624;657;657
DUKOVANY;DUKOVANY;KKW;C;E001;380;1275,4;1822;1822
HRADEC ZAPAD;KLADNO;Braunkohle;C;E001;380;142,515;237,5738;476
KOCIN;HRACHOLUSKY;Wasserspeicher;C;E003;380;-1,91;18;18
KRASIKOV;PASTVINY;Pumpspeicher;C;E003;380;-3;10;10
MELNIK;MELNIK;Braunkohle;C;E001;380;36,615;553,0238;1238
NEZNASOV;OPATOVICE;Braunkohle;C;E001;380;62,115;327,0078;614
OPOCINEK;PRACOV;Wasserspeicher;C;E003;220;0;17;17
POCERADY;POCERADY;Braunkohle;C;E001;380;372,615;524,9756;1243
PROSENICE;MORAVSKE;Braunkohle;C;E001;380;24,615;179,7573;293
PRUNEROV;PRUNEROV;Braunkohle;C;E001;380;525,615;685,0177;1753
SOKOLNICE;HODONIN;Braunkohle;C;E001;380;0;100,3443;163
TEMELIN;TEMELIN;KKW;C;E001;380;1309;1870;1870
TISOVA;TISOVA;Braunkohle;C;E001;220;162,615;264,5637;543
TUSIMICE;TUSIMICE;Braunkohle;C;E001;380;252,615;379,3255;843
TYNEC;KOLIN;Braunkohle;C;E001;380;17,415;37,2856;59
VRESOVA;VRESOVA;Braunkohle;C;E001;220;198,615;311,4177;663
ALTEN;string;Pumpspeicher;D;E003;string;0;2104;2104
ATKSH;string;Wasserspeicher;D;E003;string;0;310;310
AUDOR;string;Öl;D;E001;string;17,4;17,4;87
BASF;string;Gas;D;E001;string;32;32;160
BECHT;string;Gas;D;E001;string;11;11;55
BERGM;string;Steinkohle;D;E001;string;103,5;282,8546;345
BERGS;string;Gas;D;E001;string;2,44;2,44;13
BERTRANGE;LEUDELANGE;Müll;D;E001;220;0;47;47
BEXBA;string;Steinkohle;D;E001;string;216,3;652,3913;721
BIBLI;string;KKW;D;E001;string;802,2;2386;2386
BISCH;string;Gas;D;E001;string;67;67;335
BIXTE;string;Pumpspeicher;D;E003;string;0;8;8
BLOCK;string;Steinkohle;D;E001;string;17,6;163,0956;475
BOCHU;string;Steinkohle;D;E001;string;39,9;321,8478;413
BOXBE;string;Braunkohle;D;E001;string;0;7,0715e-07;1787
BRAUW;string;Braunkohle;D;E001;string;0;9,4161e-07;842
BROKD;string;KKW;D;E001;string;987;1410;1410
BRUNS;string;Öl;D;E001;string;12,7;821,8;1027
CHARL;string;Gas;D;E001;string;14;128,6;643
DAXLA;string;Gas;D;E001;string;70,6;506,977;858
DOLLE;string;Steinkohle;D;E001;string;10,1;212,012;362
ELMEN;string;Steinkohle;D;E001;string;44,7;374,6738;473
EMDEN;string;Gas;D;E001;string;10;10;50
ERFUR;string;Pumpspeicher;D;E003;string;0;756;756
ESCH;TWINERG;GuD;D;E001;220;82,934;82,934;415
ETZEN;string;Pumpspeicher;D;E003;string;0;254;254
FARGE;string;Steinkohle;D;E001;string;105;287,4968;350
FLEBOUR;ESCH-SUR-SURE;Wasserspeicher;D;E003;220;0;13;13
FRANF;string;Steinkohle;D;E001;string;11,2;88,7538;287
GAREN;string;Gas;D;E001;string;83,4;83,4;417
GERST;string;Steinkohle;D;E001;string;11;1037,2709;2307
GOHRP;string;Braunkohle;D;E001;string;0;1,6474e-06;1231
GRAFE;string;KKW;D;E001;string;892,5;1275;1275
GROHN;string;KKW;D;E001;string;952;1360;1360
GROSG;string;Öl;D;E001;string;17;69,4;347
GROSK;string;Steinkohle;D;E001;string;74,7;997,0176;1674
GUNDE;string;Steinkohle;D;E001;string;33,6;2775,1682;3292
GURTW;string;Pumpspeicher;D;E003;string;0;1820;1820
HALFE;string;Braunkohle;D;E001;string;0;2,3491e-07;85
HAMBO;string;Steinkohle;D;E001;string;22,5;140,5714;194
HANEK;string;Gas;D;E001;string;11;1493;2149
