$Bez. SO;Bezeichner;Langname;$UKZ;$Kurzname;$Un;P min;P0;P max
AVELGEM;RUIEN;Gas;B;E001;380;175,8;296,5128;879
BRUEGEL;SYRAL;Gas;B;E001;380;3,6;30,6596;66
COO;COO;Pumpspeicher;B;E003;380;-1035;1164;1164
DOEL;KALLO;Gas;B;E001;380;8,6;3300,7521;3685
DROGENBOS;DROGENBOS;Gas;B;E001;380;3,6;207,9692;556
EEKLO;HERDERSBRUG;Gas;B;E001;380;3,6;215,4721;554
GOUY;BAUDOUR;Gas;B;E001;380;70;318,3753;770
HOUFFALIZE;CIERREUX;Öl;B;E001;220;3,4;3,4;17
IZEGEM;IZEGEM;Gas;B;E001;380;3,6;64,9206;141
JUPILLE;MONSIN 1;Gas;B;E001;220;3,4;43,9012;91
LIXHE;SAPPI;Gas;B;E001;380;8,6;580,3675;599
MASSENHOVEN;MOL 13;Gas;B;E001;380;6;23,6159;62
MEERHOUT;GEEL AMOCO;Gas;B;E001;380;8,6;194,4054;463
MERCATOR;OUDEGEM;Gas;B;E001;380;2,9;21,9167;38
MONCEAU;MARCINELLE;Gas;B;E001;220;-144;311,0121;554
RODENHUIZE;RODENHUIZE 1;Gas;B;E001;380;3,6;682,405;1569
SERAING;SERAING;Gas;B;E001;220;47,6;289,1909;688
TERGNEE;JEMEPPE-SOLVAY;Gas;B;E001;380;18,8;50,3467;94
TIHANGE;TIHANGE;KKW;B;E001;380;2111,2;3016;3016
V. BRUG;V. BRUG;Gas;B;E001;380;77;159,3457;385
ZANDVLIET;ZANDVLIET;GuD;B;E001;380;79;162,4305;395
ALBRECHTICE;DETMAROVICE;Braunkohle;C;E001;380;88,815;420,7696;1140
CHOMUTOV;KOMORANY;Braunkohle;C;E001;220;83,715;117,6343;280
CHOTEJOVICE;LEDVICE;Braunkohle;C;E001;220;204,615;247,1523;683
CHRAST;PLZEN SKODA;Braunkohle;C;E001;380;39,915;65,8519;134
CHVALETICE;CHVALETICE;Braunkohle;C;E001;380;252,615;297,4591;843
DALESICE;DALESICE;Pumpspeicher;C;E003;380;-450;487;487
DASNY;LIPNO;Wasserspeicher;C;E003;380;0;128;128
DLOUHE STRANE;DLOUHE STRANE;Pumpspeicher;C;E003;380;-624;657;657
DUKOVANY;DUKOVANY;KKW;C;E001;380;1275,4;1822;1822
HRADEC ZAPAD;KLADNO;Braunkohle;C;E001;380;142,515;181,4827;476
KOCIN;HRACHOLUSKY;Wasserspeicher;C;E003;380;-1,91;18;18
KRASIKOV;PASTVINY;Pumpspeicher;C;E003;380;-3;10;10
MELNIK;MELNIK;Braunkohle;C;E001;380;36,615;444,1677;1238
NEZNASOV;OPATOVICE;Braunkohle;C;E001;380;62,115;251,9786;614
OPOCINEK;PRACOV;Wasserspeicher;C;E003;220;0;17;17
POCERADY;POCERADY;Braunkohle;C;E001;380;372,615;422,6795;1243
PROSENICE;MORAVSKE;Braunkohle;C;E001;380;24,615;153,3008;293
PRUNEROV;PRUNEROV;Braunkohle;C;E001;380;525,615;576,4706;1753
SOKOLNICE;HODONIN;Braunkohle;C;E001;380;0;83,0945;163
TEMELIN;TEMELIN;KKW;C;E001;380;1309;1870;1870
TISOVA;TISOVA;Braunkohle;C;E001;220;162,615;202,8471;543
TUSIMICE;TUSIMICE;Braunkohle;C;E001;380;252,615;297,4591;843
TYNEC;KOLIN;Braunkohle;C;E001;380;17,415;33,6987;59
VRESOVA;VRESOVA;Braunkohle;C;E001;220;198,615;240,8436;663
ALTEN;string;Pumpspeicher;D;E003;string;0;2104;2104
ATKSH;string;Wasserspeicher;D;E003;string;0;310;310
AUDOR;string;Öl;D;E001;string;17,4;17,4;87
BASF;string;Gas;D;E001;string;32;32;160
BECHT;string;Gas;D;E001;string;11;11;55
BERGM;string;Steinkohle;D;E001;string;103,5;168,2301;345
BERGS;string;Gas;D;E001;string;2,44;2,44;13
BERTRANGE;LEUDELANGE;Müll;D;E001;220;0;47;47
