$Bez. SO;Bezeichner;Langname;$UKZ;$Kurzname;$Un;P min;P0;P max
AVELGEM;RUIEN;Gas;B;E001;380;175,8;315,0469;879
BRUEGEL;SYRAL;Gas;B;E001;380;3,6;30,8133;66
COO;COO;Pumpspeicher;B;E003;380;-1035;1164;1164
DOEL;KALLO;Gas;B;E001;380;8,6;3313,5171;3685
DROGENBOS;DROGENBOS;Gas;B;E001;380;3,6;220,1183;556
EEKLO;HERDERSBRUG;Gas;B;E001;380;3,6;226,352;554
GOUY;BAUDOUR;Gas;B;E001;380;70;337,0965;770
HOUFFALIZE;CIERREUX;Öl;B;E001;220;3,4;3,4;17
IZEGEM;IZEGEM;Gas;B;E001;380;3,6;65,6584;141
JUPILLE;MONSIN 1;Gas;B;E001;220;3,4;44,5309;91
LIXHE;SAPPI;Gas;B;E001;380;8,6;580,4536;599
MASSENHOVEN;MOL 13;Gas;B;E001;380;6;23,5671;62
MEERHOUT;GEEL AMOCO;Gas;B;E001;380;8,6;204,585;463
MERCATOR;OUDEGEM;Gas;B;E001;380;2,9;21,7179;38
MONCEAU;MARCINELLE;Gas;B;E001;220;-144;320,9115;554
RODENHUIZE;RODENHUIZE 1;Gas;B;E001;380;3,6;718,8886;1569
SERAING;SERAING;Gas;B;E001;220;47,6;305,4718;688
TERGNEE;JEMEPPE-SOLVAY;Gas;B;E001;380;18,8;51,4582;94
TIHANGE;TIHANGE;KKW;B;E001;380;2111,2;3016;3016
V. BRUG;V. BRUG;Gas;B;E001;380;77;168,7392;385
ZANDVLIET;ZANDVLIET;GuD;B;E001;380;79;172,0301;395
ALBRECHTICE;DETMAROVICE;Braunkohle;C;E001;380;88,815;498,8177;1140
CHOMUTOV;KOMORANY;Braunkohle;C;E001;220;83,715;141,9554;280
CHOTEJOVICE;LEDVICE;Braunkohle;C;E001;220;204,615;293,6034;683
CHRAST;PLZEN SKODA;Braunkohle;C;E001;380;39,915;76,1684;134
CHVALETICE;CHVALETICE;Braunkohle;C;E001;380;252,615;349,838;843
DALESICE;DALESICE;Pumpspeicher;C;E003;380;-450;487;487
DASNY;LIPNO;Wasserspeicher;C;E003;380;0;128;128
DLOUHE STRANE;DLOUHE STRANE;Pumpspeicher;C;E003;380;-624;657;657
DUKOVANY;DUKOVANY;KKW;C;E001;380;1275,4;1822;1822
HRADEC ZAPAD;KLADNO;Braunkohle;C;E001;380;142,515;218,5515;476
KOCIN;HRACHOLUSKY;Wasserspeicher;C;E003;380;-1,91;18;18
KRASIKOV;PASTVINY;Pumpspeicher;C;E003;380;-3;10;10
MELNIK;MELNIK;Braunkohle;C;E001;380;36,615;514,5236;1238
NEZNASOV;OPATOVICE;Braunkohle;C;E001;380;62,115;303,0471;614
OPOCINEK;PRACOV;Wasserspeicher;C;E003;220;0;17;17
POCERADY;POCERADY;Braunkohle;C;E001;380;372,615;487,8144;1243
PROSENICE;MORAVSKE;Braunkohle;C;E001;380;24,615;172,6078;293
PRUNEROV;PRUNEROV;Braunkohle;C;E001;380;525,615;645,5577;1753
SOKOLNICE;HODONIN;Braunkohle;C;E001;380;0;95,4469;163
TEMELIN;TEMELIN;KKW;C;E001;380;1309;1870;1870
TISOVA;TISOVA;Braunkohle;C;E001;220;162,615;243,2565;543
TUSIMICE;TUSIMICE;Braunkohle;C;E001;380;252,615;349,838;843
TYNEC;KOLIN;Braunkohle;C;E001;380;17,415;36,372;59
VRESOVA;VRESOVA;Braunkohle;C;E001;220;198,615;286,4917;663
ALTEN;string;Pumpspeicher;D;E003;string;0;2104;2104
ATKSH;string;Wasserspeicher;D;E003;string;0;310;310
AUDOR;string;Öl;D;E001;string;17,4;17,4;87
BASF;string;Gas;D;E001;string;32;43,2952;160
BECHT;string;Gas;D;E001;string;11;20,4791;55
BERGM;string;Steinkohle;D;E001;string;103,5;345;345
BERGS;string;Gas;D;E001;string;2,44;6,7819;13
BERTRANGE;LEUDELANGE;Müll;D;E001;220;0;47;47
BEXBA;string;Steinkohle;D;E001;string;216,3;721;721
BIBLI;string;KKW;D;E001;string;802,2;2386;2386
BISCH;string;Gas;D;E001;string;67;79,6703;335
BIXTE;string;Pumpspeicher;D;E003;string;0;8;8
BLOCK;string;Steinkohle;D;E001;string;17,6;208,7355;475
BOCHU;string;Steinkohle;D;E001;string;39,9;413;413
BOXBE;string;Braunkohle;D;E001;string;0;1,2491e-12;1787
BRAUW;string;Braunkohle;D;E001;string;0;1,4003e-12;842
BROKD;string;KKW;D;E001;string;987;1410;1410
BRUNS;string;Öl;D;E001;string;12,7;821,8;1027
CHARL;string;Gas;D;E001;string;14;192,5838;643
DAXLA;string;Gas;D;E001;string;70,6;588,3823;858
