$Bez. SO;Bezeichner;Langname;$UKZ;$Kurzname;$Un;P min;P max;NNF_1;NNF_2;NNF_3;NNF_4;NNF_5;NNF_6;NNF_7;NNF_8;NNF_9
AVELGEM;RUIEN;Gas;B;E001;380;175,8;879;879;175,8;879;879;879;175,8;879;879;879
BRUEGEL;SYRAL;Gas;B;E001;380;9,6;48;9,6;9,6;9,6;9,6;9,6;9,6;9,6;9,6;9,6
BRUEGEL;DEUX-ACREN;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
DOEL;KALLO;Gas;B;E001;380;52,2;261;52,2;52,2;52,2;52,2;52,2;52,2;52,2;52,2;52,2
DOEL;EXXON;Gas;B;E001;380;26;130;130;26;130;130;130;26;130;130;130
DOEL;ZWIJNDRECHT;Gas;B;E001;380;11,6;58;11,6;11,6;11,6;11,6;11,6;11,6;11,6;11,6;11,6
DOEL;LILLO DEGUSSA;Gas;B;E001;380;17;85;17;17;17;17;17;17;17;17;17
DOEL;MONSANTO;Gas;B;E001;380;8,6;43;8,6;8,6;8,6;8,6;8,6;8,6;8,6;8,6;8,6
DOEL;LANXESS;Gas;B;E001;380;8,6;43;8,6;8,6;8,6;8,6;8,6;8,6;8,6;8,6;8,6
DOEL;WILMARSDONK;Gas;B;E001;380;30,8;154;30,8;30,8;30,8;30,8;30,8;30,8;30,8;30,8;30,8
DOEL;DOEL;KKW;B;E001;380;2037,7;2911;2911;2911;2911;2911;2911;2911;2911;2911;2911
DROGENBOS;DROGENBOS;Gas;B;E001;380;107,6;538;538;107,6;538;538;538;107,6;538;538;538
DROGENBOS;IXELLES;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
EEKLO;HERDERSBRUG;Gas;B;E001;380;92;460;92;92;92;92;92;92;92;92;92
EEKLO;ZEEBRUGGE 1;Gas;B;E001;380;8;40;8;8;8;8;8;8;8;8;8
EEKLO;ZEEBRUGGE 2;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
EEKLO;AALTER;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
EEKLO;ZEDELGEM;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
GOUY;BAUDOUR;Gas;B;E001;380;70;350;350;70;350;272,1147;350;70;321,2215;350;350
GOUY;AMERCOEUR;Gas;B;E001;380;84;420;241,2687;84;119,1989;84;84;84;84;84;119,1989
HOUFFALIZE;CIERREUX;Öl;B;E001;220;3,4;17;3,4;3,4;3,4;3,4;3,4;3,4;3,4;3,4;3,4
IZEGEM;IZEGEM;Gas;B;E001;380;4,4;22;4,4;4,4;4,4;4,4;4,4;4,4;4,4;4,4;4,4
IZEGEM;HARELBEKE;Gas;B;E001;380;16,6;83;16,6;16,6;16,6;16,6;16,6;16,6;16,6;16,6;16,6
IZEGEM;NOORDSCHOTE;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
IZEGEM;BUDA;Öl;B;E001;380;3,6;18;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
JUPILLE;MONSIN 1;Gas;B;E001;220;14,74;74;74;14,74;74;14,74;14,74;14,74;14,74;14,74;74
JUPILLE;TURON-THEUX;Öl;B;E001;220;3,4;17;3,4;3,4;3,4;3,4;3,4;3,4;3,4;3,4;3,4
LIXHE;SAPPI;Gas;B;E001;380;8,6;43;8,6;8,6;8,6;8,6;8,6;8,6;8,6;8,6;8,6
LIXHE;LANGERLO;Steinkohle;B;E001;380;166,8;556;556;556;556;556;556;556;556;556;556
MASSENHOVEN;MOL 13;Gas;B;E001;380;6;30;30;6;30;30;30;6;30;30;30
MASSENHOVEN;BEERSE;Öl;B;E001;380;6,4;32;6,4;6,4;6,4;6,4;6,4;6,4;6,4;6,4;6,4
MEERHOUT;GEEL AMOCO;Gas;B;E001;380;8,6;43;8,6;8,6;8,6;8,6;8,6;8,6;8,6;8,6;8,6
MEERHOUT;T-POWER;Gas;B;E001;380;84;420;84;84;84;84;84;84;84;84;84
MERCATOR;OUDEGEM;Gas;B;E001;380;2,9;15;15;2,9;15;15;15;2,9;15;15;15
MERCATOR;BEVEREN;Gas;B;E001;380;4,56;23;4,56;4,56;4,56;4,56;4,56;4,56;4,56;4,56;4,56
