$Bez. SO;Bezeichner;Langname;$UKZ;$Kurzname;$Un;P min;P0;P max
AVELGEM;RUIEN;Gas;B;E001;380;175,8;272,6944;879
BRUEGEL;SYRAL;Gas;B;E001;380;3,6;29,9791;66
COO;COO;Pumpspeicher;B;E003;380;-1035;1164;1164
DOEL;KALLO;Gas;B;E001;380;8,6;3275,3144;3685
DROGENBOS;DROGENBOS;Gas;B;E001;380;3,6;187,4909;556
EEKLO;HERDERSBRUG;Gas;B;E001;380;3,6;196,413;554
GOUY;BAUDOUR;Gas;B;E001;380;70;285,9497;770
HOUFFALIZE;CIERREUX;Öl;B;E001;220;3,4;3,4;17
IZEGEM;IZEGEM;Gas;B;E001;380;3,6;62,787;141
JUPILLE;MONSIN 1;Gas;B;E001;220;3,4;42,2372;91
LIXHE;SAPPI;Gas;B;E001;380;8,6;579,8387;599
MASSENHOVEN;MOL 13;Gas;B;E001;380;6;23,4069;62
MEERHOUT;GEEL AMOCO;Gas;B;E001;380;8,6;176,4395;463
MERCATOR;OUDEGEM;Gas;B;E001;380;2,9;21,8159;38
MONCEAU;MARCINELLE;Gas;B;E001;220;-144;293,8941;554
RODENHUIZE;RODENHUIZE 1;Gas;B;E001;380;3,6;618,0404;1569
SERAING;SERAING;Gas;B;E001;220;47,6;260,8185;688
TERGNEE;JEMEPPE-SOLVAY;Gas;B;E001;380;18,8;47,7771;94
TIHANGE;TIHANGE;KKW;B;E001;380;2111,2;3016;3016
V. BRUG;V. BRUG;Gas;B;E001;380;77;143,07;385
ZANDVLIET;ZANDVLIET;GuD;B;E001;380;79;145,8102;395
ALBRECHTICE;DETMAROVICE;Braunkohle;C;E001;380;88,815;534,1764;1140
CHOMUTOV;KOMORANY;Braunkohle;C;E001;220;83,715;151,1791;280
CHOTEJOVICE;LEDVICE;Braunkohle;C;E001;220;204,615;315,3601;683
CHRAST;PLZEN SKODA;Braunkohle;C;E001;380;39,915;79,4492;134
CHVALETICE;CHVALETICE;Braunkohle;C;E001;380;252,615;375,3074;843
DALESICE;DALESICE;Pumpspeicher;C;E003;380;-450;487;487
DASNY;LIPNO;Wasserspeicher;C;E003;380;0;128;128
DLOUHE STRANE;DLOUHE STRANE;Pumpspeicher;C;E003;380;-624;657;657
DUKOVANY;DUKOVANY;KKW;C;E001;380;1275,4;1822;1822
HRADEC ZAPAD;KLADNO;Braunkohle;C;E001;380;142,515;234,641;476
KOCIN;HRACHOLUSKY;Wasserspeicher;C;E003;380;-1,91;18;18
KRASIKOV;PASTVINY;Pumpspeicher;C;E003;380;-3;10;10
MELNIK;MELNIK;Braunkohle;C;E001;380;36,615;548,3658;1238
NEZNASOV;OPATOVICE;Braunkohle;C;E001;380;62,115;323,182;614
OPOCINEK;PRACOV;Wasserspeicher;C;E003;220;0;17;17
POCERADY;POCERADY;Braunkohle;C;E001;380;372,615;521,1345;1243
PROSENICE;MORAVSKE;Braunkohle;C;E001;380;24,615;178,4577;293
PRUNEROV;PRUNEROV;Braunkohle;C;E001;380;525,615;683,0362;1753
SOKOLNICE;HODONIN;Braunkohle;C;E001;380;0;99,4811;163
TEMELIN;TEMELIN;KKW;C;E001;380;1309;1870;1870
TISOVA;TISOVA;Braunkohle;C;E001;220;162,615;261,3212;543
TUSIMICE;TUSIMICE;Braunkohle;C;E001;380;252,615;375,3074;843
TYNEC;KOLIN;Braunkohle;C;E001;380;17,415;37,1401;59
VRESOVA;VRESOVA;Braunkohle;C;E001;220;198,615;307,7506;663
ALTEN;string;Pumpspeicher;D;E003;string;0;2104;2104
ATKSH;string;Wasserspeicher;D;E003;string;0;310;310
AUDOR;string;Öl;D;E001;string;17,4;17,4;87
BASF;string;Gas;D;E001;string;32;32;160
BECHT;string;Gas;D;E001;string;11;11;55
BERGM;string;Steinkohle;D;E001;string;103,5;310,768;345
BERGS;string;Gas;D;E001;string;2,44;2,44;13
BERTRANGE;LEUDELANGE;Müll;D;E001;220;0;47;47
BEXBA;string;Steinkohle;D;E001;string;216,3;694,44;721
BIBLI;string;KKW;D;E001;string;802,2;2386;2386
BISCH;string;Gas;D;E001;string;67;67;335
BIXTE;string;Pumpspeicher;D;E003;string;0;8;8
BLOCK;string;Steinkohle;D;E001;string;17,6;171,0496;475
BOCHU;string;Steinkohle;D;E001;string;39,9;352,7863;413
BOXBE;string;Braunkohle;D;E001;string;0;3,5988e-09;1787
BRAUW;string;Braunkohle;D;E001;string;0;4,7973e-09;842
BROKD;string;KKW;D;E001;string;987;1410;1410
BRUNS;string;Öl;D;E001;string;12,7;821,8;1027
CHARL;string;Gas;D;E001;string;14;128,6;643
DAXLA;string;Gas;D;E001;string;70,6;544,389;858
DOLLE;string;Steinkohle;D;E001;string;10,1;228,5024;362
ELMEN;string;Steinkohle;D;E001;string;44,7;410,9621;473
EMDEN;string;Gas;D;E001;string;10;10;50
ERFUR;string;Pumpspeicher;D;E003;string;0;756;756
ESCH;TWINERG;GuD;D;E001;220;82,934;82,934;415
ETZEN;string;Pumpspeicher;D;E003;string;0;254;254
FARGE;string;Steinkohle;D;E001;string;105;315,8061;350
FLEBOUR;ESCH-SUR-SURE;Wasserspeicher;D;E003;220;0;13;13
FRANF;string;Steinkohle;D;E001;string;11,2;91,0971;287
GAREN;string;Gas;D;E001;string;83,4;83,4;417
GERST;string;Steinkohle;D;E001;string;11;1093,4417;2307
GOHRP;string;Braunkohle;D;E001;string;0;8,3948e-09;1231
GRAFE;string;KKW;D;E001;string;892,5;1275;1275
GROHN;string;KKW;D;E001;string;952;1360;1360
GROSG;string;Öl;D;E001;string;17;69,4;347
GROSK;string;Steinkohle;D;E001;string;74,7;1077,7568;1674
GUNDE;string;Steinkohle;D;E001;string;33,6;2781,6957;3292
GURTW;string;Pumpspeicher;D;E003;string;0;1820;1820
HALFE;string;Braunkohle;D;E001;string;0;1,1988e-09;85
HAMBO;string;Steinkohle;D;E001;string;22,5;151,0512;194
HANEK;string;Gas;D;E001;string;11;1493;2149
HANNO;string;Gas;D;E001;string;20,4;66,4;332
HBORN;string;Gas;D;E001;string;18;51;255
HEILB;string;Steinkohle;D;E001;string;25,5;302,9301;390
HELMS;string;Braunkohle;D;E001;string;0;1,1995e-09;352
HERNE;string;Steinkohle;D;E001;string;3,4;85,8699;132
HEYDE;string;Steinkohle;D;E001;string;2,4;920,5903;1197
HOHEN;string;Öl;D;E001;string;15,48;15,48;78
HUNTO;string;Gas;D;E001;string;64,2;64,2;321
INGOL;string;Öl;D;E001;string;77,2;154,4;772
IRSCH;string;Gas;D;E001;string;4,6;92,2;461
ISAR;string;KKW;D;E001;string;614,6;2288;2288
ITZEH;string;Öl;D;E001;string;17,6;17,6;88
JAENS;string;Braunkohle;D;E001;string;0;7,1975e-09;2790
KIEL;string;Steinkohle;D;E001;string;96,9;288,6818;323
KLOST;string;Pumpspeicher;D;E003;string;0;160;160
KNAPS;string;Braunkohle;D;E001;string;0;160;852
KOEPC;string;Pumpspeicher;D;E003;string;0;631;631
KRIEG;string;Gas;D;E001;string;10,6;175,2;876
KRUCK;string;Gas;D;E001;string;2,4;474,7798;714
KRUEM;string;KKW;D;E001;string;0;1340;1340
KUEHM;string;Pumpspeicher;D;E003;string;0;720;720
KUPFE;string;Gas;D;E001;string;11,4;11,4;57
KUSEN;string;Steinkohle;D;E001;string;103,5;621,536;690
LANDE;string;Gas;D;E001;string;100;100;500
LAUCH;string;Braunkohle;D;E001;string;0;24;1178
LEUPO;string;Wasserspeicher;D;E003;string;0;46;46
LIPPB;string;Steinkohle;D;E001;string;0;505,9459;596
LUDER;string;Pumpspeicher;D;E003;string;0;320;320
MALCH;string;Gas;D;E001;string;7,5;30;152
MARIE;string;Öl;D;E001;string;4,64;18,56;96
MARKB;string;Pumpspeicher;D;E003;string;0;2092;2092
MEHRU;string;Steinkohle;D;E001;string;207;662,6864;690
MENGE;string;Steinkohle;D;E001;string;215,1;690,3353;717
METZI;string;Pumpspeicher;D;E003;string;0;180;180
MITTE;string;Gas;D;E001;string;10,2;177,5887;635
MOELL;string;Steinkohle;D;E001;string;95,4;571,3637;640
MUEND;string;Gas;D;E001;string;60,6;60,6;303
NDVIE;string;Steinkohle;D;E001;string;31;275,0021;433
NECKA;string;KKW;D;E001;string;27;2327,2931;2486
NEURO;string;Steinkohle;D;E001;string;60,75;965,6359;1063
NIEDS;string;Pumpspeicher;D;E003;string;0;2192;2192
NWIES;string;Gas;D;E001;string;0;11,44;115
OBERN;string;Wasserspeicher;D;E003;string;0;72;72
OBERZ;string;Gas;D;E001;string;0;108,8;2600
