$Bez. SO;Bezeichner;Langname;$UKZ;$Kurzname;$Un;P min;P max;NNF_1;NNF_2;NNF_3;NNF_4;NNF_5;NNF_6;NNF_7;NNF_8;NNF_9
AVELGEM;RUIEN;Gas;B;E001;380;175,8;879;879;879;879;879;879;879;879;851,6809;879
BRUEGEL;SYRAL;Gas;B;E001;380;9,6;48;48;48;48;48;48;48;48;48;48
BRUEGEL;DEUX-ACREN;Öl;B;E001;380;3,6;18;18;18;18;18;18;18;18;18;18
DOEL;KALLO;Gas;B;E001;380;52,2;261;261;261;261;261;261;261;261;261;261
DOEL;EXXON;Gas;B;E001;380;26;130;130;80,159;130;130;130;80,159;130;130;130
DOEL;ZWIJNDRECHT;Gas;B;E001;380;11,6;58;58;58;58;58;58;58;58;58;58
DOEL;LILLO DEGUSSA;Gas;B;E001;380;17;85;85;0;85;85;85;0;85;85;85
DOEL;MONSANTO;Gas;B;E001;380;8,6;43;43;43;43;43;43;43;43;43;43
DOEL;LANXESS;Gas;B;E001;380;8,6;43;43;43;43;43;43;43;43;43;43
DOEL;WILMARSDONK;Gas;B;E001;380;30,8;154;154;154;154;154;154;154;154;154;154
DOEL;DOEL;KKW;B;E001;380;2037,7;2911;2911;2911;2911;2911;2911;2911;2911;2911;2911
DROGENBOS;DROGENBOS;Gas;B;E001;380;107,6;538;538;538;538;538;538;538;538;538;538
DROGENBOS;IXELLES;Öl;B;E001;380;3,6;18;18;18;18;18;18;18;18;18;18
EEKLO;HERDERSBRUG;Gas;B;E001;380;92;460;460;460;460;460;460;460;460;460;460
EEKLO;ZEEBRUGGE 1;Gas;B;E001;380;8;40;40;40;40;40;40;40;40;40;40
EEKLO;ZEEBRUGGE 2;Öl;B;E001;380;3,6;18;18;18;18;18;18;18;18;18;18
EEKLO;AALTER;Öl;B;E001;380;3,6;18;18;18;18;18;18;18;18;18;18
EEKLO;ZEDELGEM;Öl;B;E001;380;3,6;18;18;18;18;18;18;18;18;18;18
