$Bez. SO;Bezeichner;Langname;$UKZ;$Kurzname;$Un;P min;P0;P max
AVELGEM;RUIEN;Gas;B;E001;380;175,8;638,2016;879
BRUEGEL;SYRAL;Gas;B;E001;380;3,6;34,1727;66
COO;COO;Pumpspeicher;B;E003;380;-1035;0;1164
DOEL;KALLO;Gas;B;E001;380;8,6;3429,4014;3685
DROGENBOS;DROGENBOS;Gas;B;E001;380;3,6;383,7996;556
EEKLO;HERDERSBRUG;Gas;B;E001;380;3,6;358,2119;554
GOUY;BAUDOUR;Gas;B;E001;380;70;535,3522;770
HOUFFALIZE;CIERREUX;Öl;B;E001;220;3,4;3,4;17
IZEGEM;IZEGEM;Gas;B;E001;380;3,6;74,9717;141
JUPILLE;MONSIN 1;Gas;B;E001;220;3,4;51,9168;91
LIXHE;SAPPI;Gas;B;E001;380;8,6;583,14;599
MASSENHOVEN;MOL 13;Gas;B;E001;380;6;24,7036;62
MEERHOUT;GEEL AMOCO;Gas;B;E001;380;8,6;320,1531;463
MERCATOR;OUDEGEM;Gas;B;E001;380;2,9;22,105;38
MONCEAU;MARCINELLE;Gas;B;E001;220;-144;285,7256;554
RODENHUIZE;RODENHUIZE 1;Gas;B;E001;380;3,6;1071,4689;1569
SERAING;SERAING;Gas;B;E001;220;47,6;477,7687;688
TERGNEE;JEMEPPE-SOLVAY;Gas;B;E001;380;18,8;62,4096;94
TIHANGE;TIHANGE;KKW;B;E001;380;2111,2;3016;3016
V. BRUG;V. BRUG;Gas;B;E001;380;77;267,5778;385
ZANDVLIET;ZANDVLIET;GuD;B;E001;380;79;274,8248;395
ALBRECHTICE;DETMAROVICE;Braunkohle;C;E001;380;88,815;691,1093;1140
CHOMUTOV;KOMORANY;Braunkohle;C;E001;220;83,715;181,2048;280
CHOTEJOVICE;LEDVICE;Braunkohle;C;E001;220;204,615;414,6778;683
CHRAST;PLZEN SKODA;Braunkohle;C;E001;380;39,915;88,0005;134
CHVALETICE;CHVALETICE;Braunkohle;C;E001;380;252,615;499,3698;843
DALESICE;DALESICE;Pumpspeicher;C;E003;380;-450;0;487
DASNY;LIPNO;Wasserspeicher;C;E003;380;0;0;128
DLOUHE STRANE;DLOUHE STRANE;Pumpspeicher;C;E003;380;-624;0;657
DUKOVANY;DUKOVANY;KKW;C;E001;380;1275,4;1822;1822
HRADEC ZAPAD;KLADNO;Braunkohle;C;E001;380;142,515;298,7981;476
KOCIN;HRACHOLUSKY;Wasserspeicher;C;E003;380;-1,91;0;18
KRASIKOV;PASTVINY;Pumpspeicher;C;E003;380;-3;0;10
MELNIK;MELNIK;Braunkohle;C;E001;380;36,615;708,6867;1238
NEZNASOV;OPATOVICE;Braunkohle;C;E001;380;62,115;393,5985;614
OPOCINEK;PRACOV;Wasserspeicher;C;E003;220;0;0;17
POCERADY;POCERADY;Braunkohle;C;E001;380;372,615;674,6541;1243
PROSENICE;MORAVSKE;Braunkohle;C;E001;380;24,615;192,2267;293
PRUNEROV;PRUNEROV;Braunkohle;C;E001;380;525,615;843,903;1753
SOKOLNICE;HODONIN;Braunkohle;C;E001;380;0;100,4016;163
TEMELIN;TEMELIN;KKW;C;E001;380;1309;1870;1870
TISOVA;TISOVA;Braunkohle;C;E001;220;162,615;337,1678;543
TUSIMICE;TUSIMICE;Braunkohle;C;E001;380;252,615;499,3698;843
TYNEC;KOLIN;Braunkohle;C;E001;380;17,415;38,4092;59
VRESOVA;VRESOVA;Braunkohle;C;E001;220;198,615;403,8121;663
